Ticker,Current Price,buy at,Sell at,stop loss,Quantity,API Status,Balance,Bought at,Spare 2,Last update,Spare 1
FUBO,5.309999942779541,5.161,6.072,4.048,0,Buy,0,0.0,0,2025-01-07,0.0
ACHR,10.494999885559082,11.679,13.74,9.16,0,Buy,0,0.0,0,2025-01-07,0.0
MPLN,12.210000038146973,12.699,14.94,9.96,0,Buy,0,0.0,0,2025-01-07,0.0
DNA,11.0600004196167,11.883,13.98,9.32,0,Buy,0,0.0,0,2025-01-07,0.0
NRGV,2.184999942779541,2.519,2.964,1.976,0,Buy,0,0.0,0,2025-01-07,0.0
SUPV,18.520000457763672,17.993,21.168,14.112,0,Buy,0,0.0,0,2025-01-07,0.0
SEDG,14.984999656677246,16.616,19.548,13.032,0,Buy,0,0.0,0,2025-01-07,0.0
NEUE,7.449999809265137,7.497,8.82,5.88,0,Buy,0,0.0,0,2025-01-07,0.0
DAN,11.510000228881836,11.863,13.956,9.304,0,Buy,0,0.0,0,2025-01-07,0.0
VSAT,8.989999771118164,10.098,11.88,7.92,0,Buy,0,0.0,0,2025-01-07,0.0
PL,3.880000114440918,4.447,5.232,3.488,0,Buy,0,0.0,0,2025-01-07,0.0
MEI,11.194999694824219,12.658,14.892,9.928,0,Buy,0,0.0,0,2025-01-07,0.0
EQC,1.7999999523162842,1.897,2.232,1.488,0,Buy,0,0.0,0,2025-01-07,0.0
LOCL,2.1500000953674316,2.295,2.7,1.8,0,Buy,0,0.0,0,2025-01-07,0.0
SQNS,3.4100000858306885,3.692,4.344,2.896,0,Buy,0,0.0,0,2025-01-07,0.0
IRWD,4.585000038146973,4.59,5.4,3.6,0,Buy,0,0.0,0,2025-01-07,0.0
JBLU,7.699999809265137,7.844,9.228,6.152,0,Buy,0,0.0,0,2025-01-07,0.0
PUMP,10.020000457763672,10.006,11.772,7.848,0,Buy,0,0.0,0,2025-01-07,0.0
PGNY,18.25,17.779,20.916,13.944,0,Buy,0,0.0,0,2025-01-07,0.0
ADEA,13.609000205993652,14.566,17.136,11.424,0,Buy,0,0.0,0,2025-01-07,0.0
