Ticker,Company Name,Sector,Market Cap,52-Week High,52-Week Low,Average Price,Previous Close
CMA,CMA,Regional Banks,8043396096,73.45,45.32,59.385000000000005,60.01
CNK,CNK,Movies & Entertainment,3772513024,36.28,13.19,24.735,31.37
CNMD,CNMD,Health Care Equipment,2120042368,114.8,61.05,87.925,69.8
CNS,CNS,Asset Management & Custody Banks,4676090880,110.67,64.13,87.4,90.67
CNSL,CNSL,Integrated Telecommunication Services,552060864,4.72,4.18,4.449999999999999,4.68
CNXN,CNXN,Technology Distributors,1813975552,77.19,57.47,67.33,70.8
COHU,COHU,Semiconductor Equipment,1178394368,36.6,22.8,29.700000000000003,25.55
COLL,COLL,Pharmaceuticals,957830976,42.287,28.97,35.6285,30.44
CON,CON,Health Care Services,2550700288,24.805,18.89,21.8475,19.56
COOP,COOP,Commercial & Residential Mortgage Finance,6087409152,103.05,61.38,82.215,93.73
CORT,CORT,Pharmaceuticals,5385435136,62.22,20.84,41.53,51.15
CPF,CPF,Regional Banks,765654720,33.25,18.0,25.625,28.27
CPK,CPK,Gas Utilities,2710162176,134.2,98.25,116.225,118.4
CPRX,CPRX,Biotechnology,2536936704,24.27,13.12,18.695,21.46
CRC,CRC,Oil & Gas Exploration & Production,4619819008,60.41,43.09,51.75,50.98
CRGY,CRGY,Oil & Gas Exploration & Production,3461300224,15.54,9.88,12.71,13.13
CRK,CRK,Oil & Gas Exploration & Production,4623568896,17.79,7.07,12.43,15.48
CRS,CRS,Steel,8472137728,198.24,58.87,128.555,169.59
CRSR,CRSR,"Technology Hardware, Storage & Peripherals",656468992,14.66,5.595,10.1275,6.47
CRVL,CRVL,Health Care Services,5920869888,381.73,223.89,302.81,334.25
CSGS,CSGS,Data Processing & Outsourced Services,1490128128,57.16,39.56,48.36,51.45
CSR,CSR,Multi-Family Residential REITs,1147319808,76.16,20.1,48.129999999999995,64.75
CSWI,CSWI,Industrial Conglomerates,6027058688,436.5,200.5,318.5,358.9
