Symbol,Company Name,Sector,Market Cap,52-Week High,52-Week Low,Average Price,Previous Close
ADBE,Adobe Inc.,Application Software,196844240896,638.25,432.47,535.36,437.39
AMD,Advanced Micro Devices,Semiconductors,193455177728,227.3,117.9,172.60000000000002,118.88
ABNB,Airbnb,"Hotels, Resorts & Cruise Lines",83850649600,170.1,110.38,140.24,129.35
GOOGL,Alphabet Inc. (Class A),Interactive Media & Services,2351625142272,201.42,130.67,166.045,188.51
GOOG,Alphabet Inc. (Class C),Interactive Media & Services,2351623045120,202.88,131.55,167.215,189.7
AMZN,Amazon,Broadline Retail,2365033807872,233.0,144.05,188.525,223.29
AEP,American Electric Power,Electric Utilities,49395404800,105.18,75.22,90.2,91.24
AMGN,Amgen,Biotechnology,141575438336,346.85,253.3,300.07500000000005,261.19
ADI,Analog Devices,Semiconductors,105105776640,244.14,181.81,212.975,207.78
ANSS,Ansys,Application Software,29591330816,364.31,289.82,327.065,334.48
AAPL,Apple Inc.,"Technology Hardware, Storage & Peripherals",3846819807232,255.0,164.08,209.54000000000002,249.79
AMAT,Applied Materials,Semiconductor Equipment,133110726656,255.89,148.05,201.97,161.44
APP,AppLovin,Application Software,114433515520,417.635,37.4,227.51749999999998,318.74
ARM,Arm Holdings,Semiconductors,138889641984,188.75,65.11,126.93,132.1
ASML,ASML Holding,Semiconductor Equipment,281116082176,1110.09,645.45,877.77,710.26
AZN,AstraZeneca,Pharmaceuticals,202626170880,87.68,60.47,74.075,64.44
TEAM,Atlassian,Application Software,66998992896,287.97,135.29,211.63,251.23
ADSK,Autodesk,Application Software,64247537664,326.62,195.32,260.97,293.63
ADP,Automatic Data Processing,Human Resource & Employment Services,119800504320,309.63,230.38,270.005,291.33
BKR,Baker Hughes,Oil & Gas Equipment & Services,39897690112,45.17,28.32,36.745000000000005,39.8
BIIB,Biogen,Biotechnology,21343463424,268.3,145.07,206.685,147.39
BKNG,Booking Holdings,"Hotels, Resorts & Cruise Lines",167091666944,5337.24,3180.0,4258.62,4980.4
AVGO,Broadcom,Semiconductors,1031217348608,251.88,104.151,178.0155,218.32
CDNS,Cadence Design Systems,Application Software,82682068992,328.99,241.29,285.14,299.87
CDW,CDW Corporation,Technology Distributors,23258566656,263.37,170.68,217.025,173.28
CHTR,Charter Communications,Cable & Satellite,49977675776,415.27,236.08,325.675,352.77
CTAS,Cintas,Diversified Support Services,75429543936,228.12,143.6375,185.87875,182.79
CSCO,Cisco,Communications Equipment,233071116288,60.23,44.5,52.364999999999995,57.63
