Symbol,Company Name,Sector,Market Cap,52-Week High,52-Week Low,Average Price,Previous Close
MMM,NYSE,1976-08-09,70400581632,141.34,75.652176,108.496088,127.13
AXP,NYSE,1982-08-30,210382487552,307.82,177.81,242.815,293.08
AMGN,NASDAQ,2020-08-31,141575438336,346.85,253.3,300.07500000000005,261.19
AMZN,NASDAQ,2024-02-26,2365033807872,233.0,144.05,188.525,223.29
AAPL,NASDAQ,2015-03-19,3846819807232,255.0,164.08,209.54000000000002,249.79
BA,NYSE,1987-03-12,132689018880,264.66,137.03,200.84500000000003,177.04
CAT,NYSE,1991-05-06,176724836352,418.5,276.94,347.72,360.37
CVX,NYSE,2008-02-19,254690115584,167.11,135.37,151.24,141.15
CSCO,NASDAQ,2009-06-08,233071116288,60.23,44.5,52.364999999999995,57.63
KO,NYSE,1987-03-12,269452886016,73.53,57.93,65.73,62.45
DIS,NYSE,1991-05-06,202879614976,123.74,83.91,103.82499999999999,111.37
GS,NYSE,2013-09-23,177704452096,612.73,372.07,492.4,553.99
HD,NYSE,1999-11-01,389994315776,439.37,323.77,381.57,385.02
HON,NASDAQ,2020-08-31,148464402432,242.77,189.66,216.215,226.88
IBM,NYSE,1979-06-29,206528708608,239.35,157.89,198.62,223.92
JNJ,NYSE,1997-03-17,347828879360,168.85,142.75,155.8,143.58
JPM,NYSE,1991-05-06,668924837888,254.31,164.3,209.305,232.96
MCD,NYSE,1985-10-30,209740349440,317.9,243.53,280.715,290.23
MRK,NYSE,1979-06-29,248031199232,134.63,94.48,114.555,99.52
MSFT,NASDAQ,1999-11-01,3246068596736,468.35,366.5,417.425,437.03
NKE,NYSE,2013-09-23,114525192192,109.96,70.75,90.35499999999999,77.1
NVDA,NASDAQ,2024-11-08,3298803056640,152.89,47.32,100.10499999999999,130.68
PG,NYSE,1932-05-26,395788025856,180.43,144.97,162.7,169.19
CRM,NYSE,2020-08-31,328873050112,369.0,212.0,290.5,336.23
SHW,NYSE,2024-11-08,87007649792,400.42,282.09,341.255,342.38
TRV,NYSE,2009-06-08,54657093632,269.56,185.27,227.41500000000002,237.71
UNH,NYSE,2012-09-24,460261654528,630.73,436.38,533.5550000000001,489.25
VZ,NYSE,2004-04-08,168090517504,45.36,37.15,41.254999999999995,39.97
V,NYSE,2013-09-23,615235846144,321.62,252.7,287.15999999999997,314.88
WMT,NYSE,1997-03-17,740999888896,96.18,51.86667,74.023335,93.4
