Symbol
BXMT
NVGS
NYT
PAAS
LADR
MA
OFG
AIV
CP
TKR
RFL
LYV
RH
EPRT
SCHW
THO
SEMR
FERG
BABA
NREF
ZTO
PRM
FNA
OBDC
TXT
CTOS
EVC
SKT
VPG
CFG
CE
AXR
MPLN
CFR
KEX
MNR
PNR
IVR
CIA
LOCL
HAYW
ECVT
GIL
NIC
BLD
GEO
GEC
GWW
TXNM
TSM
DOUG
IIIN
XPEV
REZI
ATS
GIC
PAC
ALX
ALLE
GRNT
PINE
BTE
BBAR
TMHC
SLG
HES
RL
VOYA
YALA
MTG
GMRE
BALY
CHCT
FOA
SSB
MPLX
WLY
EBS
SYK
KW
DEC
BERY
CAT
CUBE
PRKS
MO
VRTS
ALLY
GBLI
GOTU
HCA
L
YOU
HY
CVNA
RACE
DLX
AMG
FUN
AMBP
RWT
STG
MKL
MDU
FOUR
MDV
AMP
CCS
COMP
WPP
ADT
DVN
SDHC
REX
FAF
EDU
ONL
GHG
HD
MRC
WST
SNOW
TNK
PCG
RGR
LYG
GL
NU
AGX
FUBO
ASA
HOMB
BOW
SRG
LB
SMRT
TSN
SLB
IP
AWR
CF
BBW
CAVA
MPX
UPS
FMC
BN
AR
EPR
FND
THR
CAL
PBI
ZWS
DLR
OEC
BRK.A
NGG
APG
SPIR
GDOT
PH
RBLX
FHI
BOH
PBT
KT
NTZ
PPG
WMB
NEM
GM
BPT
CIM
DNA
KGS
FBK
COOK
ACHR
HMN
NKE
VNO
WAB
WFG
BH
FVRR
WHR
BTI
FRO
KFRC
CCO
MTZ
HRI
FLG
CSV
SES
SBSI
SLGN
U
CNNE
NPKI
SAH
HSHP
SQNS
PNW
AMTD
POST
BODI
DT
VTEX
TS
GFI
CNK
FENG
CWEN
KB
NRGV
MTB
BDX
HL
PL
QTWO
TKC
WBX
T
CPT
UTL
NL
VVI
BSM
OR
PG
CCK
MSM
XPOF
NEP
CMTG
PKE
PRLB
XIN
AMX
WGO
CULP
SEI
SNA
TLK
TEL
AAP
INGR
OGE
DHX
AGI
SNV
FN
MCK
TEVA
DELL
BC
OBK
GMS
GPRK
EG
JWN
MSDL
FSK
OWL
HGTY
CLB
SPOT
WES
CVX
ZH
ATR
OII
ESAB
TECK
NEUE
PVL
MEC
RPM
CI
CVS
JELD
INN
ESRT
CBNA
YMM
LXU
EQC
EARN
ATO
TYG
CNP
NVRO
WTI
SGU
CHD
EQV
ALG
OVV
RYI
RGA
MEI
AOMR
ENFN
MDT
SUPV
UMH
ETD
TGS
WS
GENI
SMHI
ROK
IVZ
SG
CAG
IFF
ALUR
KWR
BOOT
XOM
B
EW
USPH
WT
HLX
WFC
OSK
TNC
GFF
FPH
VVV
IRS
ENR
INSP
MKC
PSTG
JBL
DBD
SSD
MTUS
HPQ
GEL
EIG
TFII
CMC
AX
SGHC
NOA
SITE
COP
MTAL
KODK
EE
SVV
GTN.A
USAC
ZEPP
SPH
BP
NBHC
SKY
SF
PRO
FIX
REXR
NBR
GRND
BYD
OUT
BWA
TBN
MLP
CMRE
CCM
ARW
WIT
UBER
GBCI
GHLD
TPR
PAM
BHP
TAK
DNOW
CHE
MCW
SBH
RES
PIPR
VALE
NNI
KR
PCOR
DXC
HOUS
RERE
GTY
ADM
CLBR
BVN
CSL
AAT
NAT
FREY
AKO.B
REVG
CRGY
WOW
AMPY
STE
VATE
AM
NE
USB
BRSP
OBDE
EPAM
AGRO
VIPS
MED
ZVIA
AA
QS
SPHR
SMP
DAR
KEYS
FDS
ACN
MLM
IBM
RLX
ALE
AMPX
FCX
IGT
BAP
FCN
RIG
IVT
RC
TCI
ELAN
DV
TD
MFG
BRC
AEG
KOF
ELV
ZK
GLW
ELME
CRH
VLRS
JOE
MAIN
PRU
RLI
VLO
MOD
VTS
TROX
KUKE
CDP
NVR
UNF
XYL
BIO
ASC
RVLV
OOMA
VAL
MLNK
HDB
ABEV
IBTA
IH
NOMD
IMAX
JMIA
WDH
GLOB
FL
CUBI
JPM
LICY
PSN
S
DKL
CIVI
PDM
DOV
PLD
ITT
WSO.B
ARL
DY
MMC
TSQ
DOLE
GGB
GWRE
UNP
AME
EXP
BAC
EME
CNO
EL
AUNA
GME
BBD
GEF.B
DAO
BCE
HRL
APO
RSG
SBS
CSR
PERF
ING
GPC
TRNO
KORE
IAG
CIG
EDN
GPOR
TPH
PRG
HUBB
ELF
D
TAP.A
DBI
MUSA
BYON
DNMR
HTH
TAC
EBF
PKST
ENS
GNE
CDLR
PKX
H
UE
WTM
YETI
LZB
FBMS
AVNT
DAVA
SII
MANU
AEVA
KNSL
JXN
MIR
EAF
ANVS
BBDO
GOLF
NWN
BILL
LEN
AZZ
TPX
LGF.A
VMI
TNET
CWH
VRN
HLLY
WRBY
WD
DIS
ALK
ZUO
DHT
PEG
WCC
FMS
KVUE
SEE
SMFG
AZO
HIMS
SUP
BHR
CEIX
KREF
ASPN
MSGS
ARMK
ABCB
ACRE
FOR
ASGN
CLH
MPW
GD
BKD
MBC
APAM
SPLP
PRT
TJX
PM
HSBC
RDY
KLC
UMC
HMC
BK
ATEN
BBY
CRK
BBWI
BOX
PHIN
BNS
MSI
CNI
FDX
AJG
SPMC
APH
FSM
UHS
PSQH
ECL
NABL
CW
PKG
EVTC
ONTF
PFLT
FTI
AMT
HG
MBI
ERO
MET
BWLP
AEE
BH.A
GHM
SPG
NMG
GB
DKS
LHX
SR
RSKD
IDA
TG
CION
LPG
MCD
SHEL
XPO
YPF
GNK
PSA
CRBG
MTD
TRN
GHI
MTX
KTB
BW
STZ
TGLS
LGF.B
FNF
RDN
SEM
MGY
HAE
WMT
PUK
DOC
DTC
SMWB
A
RMD
VOC
MLR
GGG
MKC.V
ADNT
LVS
DRD
DHR
SID
ANF
AGS
BWMX
LLY
FCPT
MG
ALTG
EOG
MAGN
CIB
TFX
DFS
CHT
OHI
KNF
STVN
PK
SKLZ
VZ
VST
RNGR
HUBS
NVT
WEAV
KAI
ELP
VET
GRBK
NINE
SO
EQR
PLNT
OKLO
MITT
KLG
KEY
PAY
PNNT
SAND
PX
BORR
LRN
JLL
SB
VIK
BUD
BAX
HRTG
FTS
UCB
YELP
PRMB
BARK
SPCE
CWT
PATH
PMT
CTRI
WU
CCRD
BIP
FPI
AVTR
LOAR
RYN
PVH
PAG
TR
CHH
BHVN
FINV
CQP
CLF
UI
CWEN.A
BANC
DEO
LMT
OGN
FICO
CLW
FDP
CEPU
IBP
SHO
RNST
BRDG
ALIT
NGVC
BFAM
CTRA
ST
NSP
OPFI
FNV
GBX
FC
DNB
NRDY
CADE
OTIS
TRU
TPC
CIO
KRP
BBVA
TRV
AMC
BBAI
GMED
HTGC
CALX
ETR
FIHL
DAL
RKT
EQT
SNX
VICI
HP
HZO
BJ
LYB
TTI
ORCL
ALL
OSCR
CMCM
IFS
SOLV
AVY
AVA
BIPC
PBF
M
TEN
HIG
CTRE
MYE
EVEX
AXTA
ED
MT
SRI
XPER
BB
MP
KRG
AHT
WY
TMO
LOW
BEN
ZGN
STEM
SMG
BFLY
GOOS
CACI
KMPR
CNH
THG
LDI
CLDT
AVAL
LFT
ARES
FCF
BMI
AB
GIB
GS
BKSY
APLE
CRI
AIZ
EFC
GCO
STR
TDOC
IRM
JHX
BV
EXTO
LCII
CDRE
SNAP
KMB
UL
WTTR
ITW
PJT
FBIN
KOP
NUS
RIO
GDDY
EEX
ML
GATO
MOV
BKU
PSTL
LAD
STC
DOCS
TEX
ENIC
FMX
HAL
CUK
CRM
GKOS
JKS
DHI
HUN
SCS
DECK
CMG
X
SAM
BXP
FF
AQN
DD
GNW
JEF
DLB
DRH
WNC
NHI
GEF
TV
SBSW
BKV
MTR
OMC
CCI
PD
YUM
CNA
LNN
TDS
DRI
SHOP
TOL
NEE
CSTM
PEN
BEP
LMND
NCDL
KBDC
LAW
YSG
CHWY
AIN
PDS
RBA
ENZ
DLNG
SE
CTO
GETY
BHLB
KEP
BKDT
O
GPI
ZTS
DSX
FNB
E
PBR
NOW
WRB
UHAL.B
AVNS
SSTK
COTY
KVYO
BAH
KRC
LEVI
BF.B
ADC
EVRI
WKC
TRC
GPMT
GSL
CM
LBRT
PFGC
STM
HMY
EXK
UFI
DX
CCU
KN
LII
TGI
BY
WF
TALO
TDC
NXE
CPS
COF
LH
AVD
LITB
BSX
USM
GFL
KFS
ECG
EMN
EHAB
CDE
COHR
LNG
HUYA
TDW
MTRN
MCO
NSC
IHS
INFA
HEI
BRFS
LDOS
TPB
VNT
FHN
MCB
STLA
TT
LSPD
PBR.A
RTO
MC
WELL
VAC
BLND
USNA
ABBV
FVR
SN
HLF
MSA
PHM
DPZ
SKX
AES
BFH
HLT
ZETA
DVA
MAS
NPWR
GEAR
EQNR
CAH
BGS
SNDR
NGVT
DEA
MD
COR
AI
RHI
C
CLVT
HEI.A
PACS
EQS
SPRU
VSCO
CPAC
AHH
MATV
AL
AORT
SMR
QUAD
TUYA
SPGI
PAGS
AMBC
AU
KIND
CMBT
ENVA
DAC
WH
BDN
HYAC
SCL
AC
RCI
VTR
SYF
SOL
AMPS
CPNG
BF.A
NVST
HLN
LEA
KAR
FRGE
ACEL
HLIO
OLP
UAN
ESI
SAFE
DESP
PGR
CNF
MAN
CXM
NVO
SUI
CCL
PRI
MTDR
AGL
GES
ACR
GRC
TRAK
GAP
RVTY
ASIX
TSLX
TXO
KD
NOV
MOH
SW
CBT
DCI
HOG
CB
CHPT
CVI
PLOW
INVH
FR
HI
BAK
AHR
DFIN
EQBK
NC
EPC
BFS
THC
SQ
TREX
ESNT
AESI
CLCO
RBRK
PRIM
CCJ
BCH
NUVB
BE
DK
RCUS
DDS
ULS
GTES
AEM
OLO
HAFN
HSY
HOV
HNI
KIM
KMX
BIRK
AVB
WEC
MAA
BNL
HPE
KSS
AZUL
CARR
MMI
ETWO
LOMA
PHR
FUL
EFXT
RS
SPB
AWK
HASI
WM
RBOT
KO
ENFY
ABT
BX
OCFT
BWXT
BCO
LW
CNS
AMH
WAT
UA
PSO
FE
CRL
SKIL
WDS
CPA
LTC
AOS
NTST
GCI
RHP
BHE
TU
TRTX
VEEV
TKO
QBTS
XPRO
SOBO
UVE
SXT
ITGR
IBN
DM
AMWL
KMI
BGSF
WMS
COUR
DGX
WWW
HII
CATO
TAL
IX
GIS
TBBB
MOGU
NPK
PINS
BSS
NOTE
ELS
AUB
AER
LXFR
TLYS
EB
DB
MEG
BMO
EPD
TWI
ROL
LZM
EBR
GPN
UHAL
CUZ
PUMP
EMR
TRI
SFL
AMCR
HVT.A
EVH
FLO
KOS
HVT
ONON
SHAK
EGO
TME
BHC
PFS
ARLO
AZEK
GXO
VFC
ARCH
CMP
OI
BEKE
CRS
EPAC
SPXC
MTH
CPF
TX
NRP
INVX
BNED
SQM
ICE
CMI
NXRT
NET
ITUB
BBDC
FTV
DCO
NNN
MNSO
SLQT
CARS
SFBS
HHH
SCM
BCSF
CURV
SARO
GSBD
CBAN
CR
ATKR
DTM
TPVG
CBU
ODC
GFR
SSL
TIMB
USFD
IOT
TWO
CC
WLYB
STAG
HCI
CRC
SHW
FRT
AN
ORA
BEDU
CWK
SJM
CPRI
MODG
SAP
AYI
LON
VIST
TDY
NOC
LU
PPL
JNPR
RNR
FLUT
WK
CMS
MUFG
WPC
ACCO
PFE
EC
BRT
INGM
LOB
VNCE
ONIT
AXL
NOAH
NVS
ASR
STN
EXR
NATL
SRFM
CANG
HR
HESM
VMC
WSO
NRG
HLI
NLY
BMY
NOVA
ASAI
AWI
SCI
BRCC
KNX
HRB
KEN
QSR
NVRI
MOG.B
NTR
ORI
DEI
TEO
AMN
BXC
HIPO
FSLY
SNN
AKR
CPK
BLDR
ARDT
PII
ARI
QGEN
NYC
NCLH
UTI
BSIG
SD
LUCK
OPY
SA
SMAR
ZBH
LEN.B
AGO
DDL
CBZ
UP
GTN
ABM
VRE
AP
FLS
OMI
LTM
PB
EIX
PBH
ACA
OMF
AKO.A
RYAN
JOBY
VSTS
PHG
CAAP
JBGS
STEL
AXP
ENB
EDR
GEV
FIS
LTH
NEXA
MTN
SLF
EQH
SJT
ALTM
MAC
SMBK
PLYM
AMTM
TWLO
OXY
RLJ
TBI
FBRT
RCL
RRC
AON
DQ
KGC
MFC
EGY
BKE
GTLS
NTB
DIN
TISI
CNMD
SBXD
RF
ESS
UHT
MMS
TRGP
LNC
IHG
LND
FSS
WTS
R
MYTE
RYAM
JACS
AXS
MSGE
