Symbol,Company Name,Sector,Market Cap,52-Week High,52-Week Low,Average Price,Previous Close
GRBK,"Green Brick Partners, Inc.",Consumer Cyclical,2464755200,84.66,48.38,66.03625,56.49
GSHD,"Goosehead Insurance, Inc",Financial Services,3903835136,130.39,50.47,82.487076,107.22
GTES,Gates Industrial Corporation plc,Industrials,5201341440,23.34,12.405,18.0523,20.57
GTY,Getty Realty Corp.,Real Estate,1627414656,33.85,25.7,29.73115,30.13
GVA,Granite Construction Incorporated,Industrials,3843211776,105.2,43.92,72.65405,87.71
HAFC,Hanmi Financial Corporation,Financial Services,688176000,27.59,14.45,19.139,23.62
HAIN,"The Hain Celestial Group, Inc.",Consumer Defensive,541164544,11.68,5.69,7.47465,6.15
HASI,"HA Sustainable Infrastructure Capital, Inc.",Real Estate,3262153984,36.56,21.77,30.7163,26.83
HAYW,"Hayward Holdings, Inc.",Industrials,3270151424,16.87,11.805,14.49935,15.29
HBI,Hanesbrands Inc.,Consumer Cyclical,2830542848,9.1,3.88,6.23505,8.14
HCC,"Warrior Met Coal, Inc.",Basic Materials,2847837952,75.53,50.6,63.3377,54.24
HCI,"HCI Group, Inc.",Financial Services,1206204800,126.5,81.35,104.8178,116.53
HCSG,"Healthcare Services Group, Inc.",Healthcare,839916032,13.0,8.98,11.2045,11.615
HELE,Helen of Troy Limited,Consumer Defensive,1360355712,127.83,48.05,76.99135,59.83
HFWA,Heritage Financial Corporation,Financial Services,821391680,27.58,16.55,21.11145,24.5
HI,"Hillenbrand, Inc.",Industrials,2138805120,50.58,25.11,37.2539,30.78
HIMS,"Hims & Hers Health, Inc.",Consumer Defensive,5505671168,35.02,8.09,19.66695,24.18
HIW,"Highwoods Properties, Inc.",Real Estate,3316553472,36.78,21.37,29.44795,30.58
HLIT,Harmonic Inc.,Technology,1524186240,15.46,9.1,12.5938,13.23
HLX,"Helix Energy Solutions Group, Inc.",Energy,1472366720,13.05,8.81,10.72895,9.32
HMN,Horace Mann Educators Corporation,Financial Services,1576926976,43.26,31.81,36.0785,39.23
HNI,HNI Corporation,Industrials,2362951680,58.42,39.95,49.35375,50.37
HOPE,"Hope Bancorp, Inc.",Financial Services,1446453120,14.54,9.8,11.8942,12.29
HP,"Helmerich & Payne, Inc.",Energy,3270778624,44.11,29.46,35.8593,32.02
HPP,"Hudson Pacific Properties, Inc.",Real Estate,414442592,9.84,2.39,4.86185,3.03
HRMY,"Harmony Biosciences Holdings, Inc.",Healthcare,1986400256,41.61,28.14,33.204025,34.41
HSII,"Heidrick & Struggles International, Inc.",Industrials,899641984,49.02,26.52,37.0356,44.31
HSTM,"HealthStream, Inc.",Healthcare,964456448,33.52,23.92,28.65325,31.8
HTH,Hilltop Holdings Inc.,Financial Services,1831920000,35.32,27.9,31.20725,28.63
HTLD,"Heartland Express, Inc.",Industrials,860324928,13.82,9.63,11.7337,11.22
HTZ,"Hertz Global Holdings, Inc.",Industrials,1143953664,9.835,2.47,4.19895,3.66
HUBG,"Hub Group, Inc.",Industrials,2710385920,53.21,38.07,44.30835,44.56
HWKN,"Hawkins, Inc.",Basic Materials,2521203200,139.55,54.44,106.04235,122.67
HZO,"MarineMax, Inc.",Consumer Cyclical,632874752,38.2,22.51,30.88775,28.95
IAC,IAC Inc.,Communication Services,3675905024,58.289,41.08,50.05445,43.14
IART,Integra LifeSciences Holdings Corporation,Healthcare,1776303872,45.42,16.81,25.22935,22.68
IBP,"Installed Building Products, Inc.",Consumer Cyclical,4831958016,281.04,168.08,223.96774,175.25
IBTX,"Independent Bank Group, Inc.",Financial Services,2513928192,68.66,36.47,53.0944,60.39
ICHR,"Ichor Holdings, Ltd.",Technology,1089248256,46.43,26.4,33.9241,32.22
ICUI,"ICU Medical, Inc.",Healthcare,3868029696,196.26,86.8,139.44205,155.17
IDCC,"InterDigital, Inc.",Technology,4969392640,203.9,95.33,136.74464,193.72
IIIN,"Insteel Industries, Inc.",Industrials,510231200,38.4,26.23,31.48945,27.01
IIPR,"Innovative Industrial Properties, Inc.",Real Estate,1920896128,138.35,64.8,112.4398,66.64
INDB,Independent Bank Corp.,Financial Services,2685227520,77.23,45.11,58.26905,64.19
INN,"Summit Hotel Properties, Inc.",Real Estate,732905728,7.22,5.66,6.35595,6.85
INSP,"Inspire Medical Systems, Inc.",Healthcare,5669437952,257.4,123.0,186.44505,185.38
INVA,"Innoviva, Inc.",Healthcare,1089259136,21.28,14.33,17.6163,17.35
IOSP,Innospec Inc.,Basic Materials,2684713728,133.71,103.97,118.9373,110.06
IPAR,"Interparfums, Inc.",Consumer Defensive,4122299392,156.75,108.39,125.56425,131.51
IRWD,"Ironwood Pharmaceuticals, Inc.",Healthcare,692921216,15.7,3.06,5.6171,4.43
ITGR,Integer Holdings Corporation,Healthcare,4433246208,142.76,94.56,123.84815,132.52
ITRI,"Itron, Inc.",Technology,4893574144,124.9,67.21,103.9633,108.58
JACK,Jack in the Box Inc.,Consumer Cyclical,771391424,86.2,38.12,51.48935,41.64
JBGS,JBG SMITH Properties,Real Estate,1304337152,18.86,13.645,16.1795,15.37
JBLU,JetBlue Airways Corporation,Industrials,2594639872,8.28,4.5,6.19625,7.86
JBSS,"John B. Sanfilippo & Son, Inc.",Consumer Defensive,1012521408,108.96,79.07,95.52315,87.11
JBT,John Bean Technologies Corporation,Industrials,3990514688,132.69,82.64,100.8656,127.1
JJSF,J&J Snack Foods Corp.,Consumer Defensive,2995582976,180.8,133.23,161.92426,155.13
JOE,The St. Joe Company,Real Estate,2607448576,64.69,43.5,55.50985,44.93
JXN,Jackson Financial Inc.,Financial Services,6482849792,115.22,47.49,83.48085,87.08
KALU,Kaiser Aluminum Corporation,Basic Materials,1130503680,102.42,59.52,82.0027,70.27
KAR,"OPENLANE, Inc.",Consumer Cyclical,2156111872,20.85,12.86,17.56415,19.84
KELYA,"Kelly Services, Inc.",Industrials,495247744,25.27,12.68,20.38505,13.94
KFY,Korn Ferry,Industrials,3446260224,80.64,54.77,68.91465,67.45
KLG,WK Kellogg Co,Consumer Defensive,1533028480,24.629,12.32,18.5632,17.99
KLIC,"Kulicke and Soffa Industries, Inc.",Technology,2533567232,56.71,38.2,46.17285,46.66
KMT,Kennametal Inc.,Industrials,1843658368,32.18,22.5,25.31435,24.02
KN,Knowles Corporation,Technology,1762258688,20.49,14.97,17.6363,19.93
KOP,Koppers Holdings Inc.,Basic Materials,644753728,58.23,30.64,40.3895,32.4
KREF,KKR Real Estate Finance Trust Inc.,Real Estate,710336256,13.29,8.71,10.71365,10.1
KRYS,"Krystal Biotech, Inc.",Healthcare,4501018112,219.34,107.5,179.0064,156.66
KSS,Kohl's Corporation,Consumer Cyclical,1561791488,29.6,13.65,20.7893,14.04
KTB,"Kontoor Brands, Inc.",Consumer Cyclical,4689233408,94.815,52.95,73.63185,85.41
KW,"Kennedy-Wilson Holdings, Inc.",Real Estate,1363127040,12.05,7.85,10.2136,9.99
KWR,Quaker Chemical Corporation,Basic Materials,2419140864,207.83,135.44,171.6015,140.76
LBRT,Liberty Energy Inc.,Energy,3384345088,24.75,16.57,20.47695,19.89
LCII,LCI Industries,Consumer Cyclical,2587489280,129.38,96.19,112.24555,103.39
LEG,"Leggett & Platt, Incorporated",Consumer Cyclical,1285203200,26.07,9.18,13.0723,9.6
LESL,"Leslie's, Inc.",Consumer Cyclical,419879616,8.21,2.02,3.6533,2.23
