Ticker,Current Price,buy at,Sell at,stop loss,Quantity,API Status,Balance,Bought at,Spare 2,Last update,Spare 1
MPLN,12.950,13.209,15.540,10.360,0,Buy,0,0.000,0,2025-01-07,0.000
ACHR,9.570,9.761,11.484,7.656,0,Buy,0,0.000,0,2025-01-07,0.000
DNA,10.220,10.424,12.264,8.176,0,Buy,0,0.000,0,2025-01-07,0.000
NRGV,2.300,2.346,2.760,1.840,0,Buy,0,0.000,0,2025-01-07,0.000
CCM,6.450,6.579,7.740,5.160,0,Buy,0,0.000,0,2025-01-07,0.000
NEUE,7.330,7.477,8.796,5.864,0,Buy,0,0.000,0,2025-01-07,0.000
SUPV,16.670,17.003,20.004,13.336,0,Buy,0,0.000,0,2025-01-07,0.000
DAN,11.270,11.495,13.524,9.016,0,Buy,0,0.000,0,2025-01-07,0.000
VSAT,9.530,9.721,11.436,7.624,0,Buy,0,0.000,0,2025-01-07,0.000
SEDG,14.800,15.096,17.760,11.840,0,Buy,0,0.000,0,2025-01-07,0.000
MXL,19.570,19.961,23.484,15.656,0,Buy,0,0.000,0,2025-01-07,0.000
EQC,1.810,1.846,2.172,1.448,0,Buy,0,0.000,0,2025-01-07,0.000
MEI,11.830,12.067,14.196,9.464,0,Buy,0,0.000,0,2025-01-07,0.000
PGNY,17.730,18.085,21.276,14.184,0,Buy,0,0.000,0,2025-01-07,0.000
PL,3.970,4.049,4.764,3.176,0,Buy,0,0.000,0,2025-01-07,0.000
PUMP,9.870,10.067,11.844,7.896,0,Buy,0,0.000,0,2025-01-07,0.000
SQNS,3.520,3.590,4.224,2.816,0,Buy,0,0.000,0,2025-01-07,0.000
LOCL,2.150,2.193,2.580,1.720,0,Buy,0,0.000,0,2025-01-07,0.000
CRK,18.700,19.074,22.440,14.960,0,Buy,0,0.000,0,2025-01-07,0.000
JBLU,7.480,7.630,8.976,5.984,0,Buy,0,0.000,0,2025-01-07,0.000
