Date,Invested (£),Value (£),Adj Close,Fund Equivalent Value,Cumulative Fund Value
2022-08-18,149.11,149.11,4283.740234375,149.11,149.11
2023-01-01,1500.0,1497.62,3839.5,133.64672311497648,282.75672311497647
2023-08-31,7030.0,7435.09,4507.66015625,156.90428670367376,439.6610098186502
2024-01-01,7430.0,9167.94,4769.830078125,166.02999342535708,605.6910032440073
2024-04-01,14380.0,15890.25,5243.77001953125,182.52706859718916,788.2180718411964
2024-05-01,19230.0,20141.79,5018.39013671875,174.68196303815074,962.9000348793472
2024-08-31,15035.0,17073.47,5648.39990234375,196.61157384846865,1159.5116087278159
2024-09-10,15900.0,16731.73,5495.52001953125,191.29007485951377,1350.8016835873295
2024-09-17,16908.0,17435.0,5634.580078125,196.13052834231917,1546.9322119296487
2024-09-21,16908.0,17637.0,5702.5498046875,198.49644349431787,1745.4286554239666
2024-09-28,16908.0,17811.0,5738.169921875,199.73632158758025,1945.1649770115469
2024-10-11,17208.0,17961.0,5780.0498046875,201.194091896821,2146.359068908368
