[2025-01-03 13:26:43] Fetching data for symbol: MO
[2025-01-03 13:26:44] Fetched data for symbol: MO
[2025-01-03 13:26:44] Fetching data for symbol: AMZN
[2025-01-03 13:26:45] Fetched data for symbol: AMZN
[2025-01-03 13:26:45] Fetching data for symbol: AMCR
[2025-01-03 13:26:46] Fetched data for symbol: AMCR
[2025-01-03 13:26:46] Fetching data for symbol: AEE
[2025-01-03 13:26:47] Fetched data for symbol: AEE
[2025-01-03 13:26:47] Fetching data for symbol: AEP
[2025-01-03 13:26:49] Fetched data for symbol: AEP
[2025-01-03 13:26:49] Fetching data for symbol: AXP
[2025-01-03 13:26:50] Fetched data for symbol: AXP
[2025-01-03 13:26:50] Fetching data for symbol: AIG
[2025-01-03 13:26:51] Fetched data for symbol: AIG
[2025-01-03 13:26:51] Fetching data for symbol: AMT
[2025-01-03 13:26:52] Fetched data for symbol: AMT
[2025-01-03 13:26:52] Fetching data for symbol: AWK
[2025-01-03 13:26:53] Fetched data for symbol: AWK
[2025-01-03 13:26:53] Fetching data for symbol: AMP
[2025-01-03 13:26:54] Fetched data for symbol: AMP
[2025-01-03 13:26:54] Fetching data for symbol: AME
[2025-01-03 13:26:55] Fetched data for symbol: AME
[2025-01-03 13:26:55] Fetching data for symbol: AMGN
[2025-01-03 13:26:56] Fetched data for symbol: AMGN
[2025-01-03 13:26:56] Fetching data for symbol: APH
[2025-01-03 13:26:57] Fetched data for symbol: APH
[2025-01-03 13:26:57] Fetching data for symbol: ADI
[2025-01-03 13:26:59] Fetched data for symbol: ADI
[2025-01-03 13:26:59] Fetching data for symbol: ANSS
[2025-01-03 13:27:00] Fetched data for symbol: ANSS
[2025-01-03 13:27:00] Fetching data for symbol: AON
[2025-01-03 13:27:01] Fetched data for symbol: AON
[2025-01-03 13:27:01] Fetching data for symbol: APA
[2025-01-03 13:27:02] Fetched data for symbol: APA
[2025-01-03 13:27:02] Fetching data for symbol: APO
[2025-01-03 13:27:03] Fetched data for symbol: APO
[2025-01-03 13:27:03] Fetching data for symbol: AAPL
