Date,Open,High,Low,Close,Adj Close,Volume
2024-04-01,80.20999908447266,80.37999725341797,79.05999755859375,79.54000091552734,78.95262145996094,939200
2024-04-02,78.86000061035156,78.93000030517578,78.0,78.75,78.16845703125,1356100
2024-04-03,78.5,79.55000305175781,78.29000091552734,79.20999908447266,78.62506103515625,950300
2024-04-04,80.0,80.37999725341797,78.37999725341797,78.69999694824219,78.11882781982422,800700
2024-04-05,78.4800033569336,79.1500015258789,78.25,78.63999938964844,78.05927276611328,916300
2024-04-08,78.75,79.12000274658203,78.37000274658203,78.73999786376953,78.15853118896484,776800
2024-04-09,79.1500015258789,79.30999755859375,78.33000183105469,79.19999694824219,78.6151351928711,938000
2024-04-10,77.5,77.88999938964844,75.45999908447266,75.69000244140625,75.13105773925781,1901500
2024-04-11,76.5999984741211,77.33000183105469,75.75,76.61000061035156,76.04426574707031,994600
2024-04-12,75.94999694824219,76.55000305175781,75.4000015258789,76.0199966430664,75.4586181640625,1047500
2024-04-15,76.68000030517578,76.69000244140625,74.26000213623047,74.83999633789062,74.2873306274414,1191000
2024-04-16,74.69000244140625,75.36000061035156,73.52999877929688,74.70999908447266,74.15829467773438,1124600
2024-04-17,74.98999786376953,75.47000122070312,74.19000244140625,75.1500015258789,74.59504699707031,1244500
2024-04-18,75.47000122070312,75.62999725341797,74.41000366210938,74.41999816894531,73.87042999267578,869000
2024-04-19,74.75,75.26000213623047,74.48999786376953,75.0999984741211,74.54541015625,1093200
2024-04-22,75.3499984741211,75.97000122070312,74.75,75.8499984741211,75.28987121582031,926200
2024-04-23,76.18000030517578,76.94000244140625,75.77999877929688,76.5999984741211,76.03433227539062,774700
2024-04-24,76.2699966430664,78.45999908447266,76.12000274658203,78.19000244140625,77.61259460449219,1095400
2024-04-25,77.54000091552734,77.87999725341797,76.37000274658203,77.26000213623047,76.68946075439453,1125000
2024-04-26,77.44000244140625,78.12999725341797,77.2699966430664,77.5199966430664,76.94754028320312,817600
