Ticker,First Date,First Value,Last Date,Last Value,Percentage Change,Source File,Folder Path
NI,2024-11-20,37.29999923706055,2024-12-24,36.86000061035156,-1.1796210072621405,nyse_tickers.csv,nyse_data
TPL,2024-11-20,1449.2493896484375,2024-12-24,1161.199951171875,-19.87576745134516,nyse_tickers.csv,nyse_data
TREX,2024-11-20,68.87999725341797,2024-12-24,71.11000061035156,3.2375195206950105,nyse_tickers.csv,nyse_data
BALL,2024-11-20,60.2255973815918,2024-12-24,56.15999984741211,-6.750613876720722,nyse_tickers.csv,nyse_data
SPB,2024-11-20,88.46404266357422,2024-12-24,84.72000122070312,-4.232274865743539,nyse_tickers.csv,nyse_data
PHI,2024-11-20,22.6200008392334,2024-12-24,21.940000534057617,-3.0061904506933113,nyse_tickers.csv,nyse_data
AB,2024-11-20,37.16999816894531,2024-12-24,36.79999923706055,-0.9954235945964918,nyse_tickers.csv,nyse_data
GRNT,2024-11-20,6.41050386428833,2024-12-24,6.03000020980835,-5.935627877859841,nyse_tickers.csv,nyse_data
SAFE,2024-11-20,20.43000030517578,2024-12-24,18.799999237060547,-7.97846815353344,nyse_tickers.csv,nyse_data
UWMC,2024-11-20,5.9642510414123535,2024-12-24,5.760000228881836,-3.424584430003307,nyse_tickers.csv,nyse_data
SXT,2024-11-20,76.30999755859375,2024-12-24,73.43000030517578,-3.774075934423397,nyse_tickers.csv,nyse_data
IR,2024-11-20,103.11000061035156,2024-12-24,92.3499984741211,-10.43545928866015,nyse_tickers.csv,nyse_data
CI,2024-11-20,322.0381164550781,2024-12-24,280.0599975585937,-13.035139864364492,nyse_tickers.csv,nyse_data
AMTM,2024-11-20,22.40999984741211,2024-12-24,19.809999465942383,-11.6019651904191,nyse_tickers.csv,nyse_data
UFI,2024-11-20,5.590000152587891,2024-12-24,5.599999904632568,0.1788864359878121,nyse_tickers.csv,nyse_data
DAL,2024-11-20,63.63999938964844,2024-12-24,62.560001373291016,-1.6970427823936973,nyse_tickers.csv,nyse_data
TWI,2024-11-20,6.78000020980835,2024-12-24,6.989999771118164,3.097338566538931,nyse_tickers.csv,nyse_data
IBN,2024-11-20,29.729999542236328,2024-12-24,30.520000457763672,2.657251690855287,nyse_tickers.csv,nyse_data
AORT,2024-11-20,27.170000076293945,2024-12-24,28.549999237060547,5.07912829183487,nyse_tickers.csv,nyse_data
EQV,2024-11-20,9.937999725341797,2024-12-24,9.9399995803833,0.020123315523991176,nyse_tickers.csv,nyse_data
BWA,2024-11-20,33.20323944091797,2024-12-24,32.18000030517578,-3.0817448928829516,nyse_tickers.csv,nyse_data
SIG,2024-11-20,96.6999969482422,2024-12-24,81.20999908447266,-16.01861256734106,nyse_tickers.csv,nyse_data
HAE,2024-11-20,84.91999816894531,2024-12-24,77.41000366210938,-8.843611244426867,nyse_tickers.csv,nyse_data
SOC,2024-11-20,22.100000381469727,2024-12-24,22.84000015258789,3.3484151961311026,nyse_tickers.csv,nyse_data
ENFY,2024-11-20,1.9600000381469729,2024-12-24,1.2100000381469729,-38.26530537770124,nyse_tickers.csv,nyse_data
RY,2024-11-20,121.79000091552734,2024-12-24,120.73999786376952,-0.8621422480209202,nyse_tickers.csv,nyse_data
HRB,2024-11-20,56.187686920166016,2024-12-24,54.290000915527344,-3.3774054577740307,nyse_tickers.csv,nyse_data
FUBO,2024-11-20,1.440000057220459,2024-12-24,1.3600000143051147,-5.555558315029741,nyse_tickers.csv,nyse_data
FERG,2024-11-20,201.7771148681641,2024-12-24,177.30999755859375,-12.125813834515633,nyse_tickers.csv,nyse_data
SPCE,2024-11-20,6.679999828338623,2024-12-24,6.210000038146973,-7.035925183676893,nyse_tickers.csv,nyse_data
NSA,2024-11-20,43.30857849121094,2024-12-24,38.04999923706055,-12.142119269090232,nyse_tickers.csv,nyse_data
MTUS,2024-11-20,14.619999885559082,2024-12-24,14.270000457763672,-2.3939769530444552,nyse_tickers.csv,nyse_data
PCOR,2024-11-20,70.26000213623047,2024-12-24,77.79000091552734,10.717333547324124,nyse_tickers.csv,nyse_data
EXR,2024-11-20,163.34994506835938,2024-12-24,149.55999755859375,-8.441966420003846,nyse_tickers.csv,nyse_data
CAH,2024-11-20,120.33999633789062,2024-12-24,118.83000183105467,-1.254773602116614,nyse_tickers.csv,nyse_data
NYC,2024-11-20,8.729999542236328,2024-12-24,8.819999694824219,1.030929636965773,nyse_tickers.csv,nyse_data
BROS,2024-11-20,52.619998931884766,2024-12-24,54.810001373291016,4.161920345610709,nyse_tickers.csv,nyse_data
IPI,2024-11-20,26.459999084472656,2024-12-24,22.5,-14.965983452344394,nyse_tickers.csv,nyse_data
VRE,2024-11-20,18.25,2024-12-24,16.639999389648438,-8.821921152611303,nyse_tickers.csv,nyse_data
CCJ,2024-11-20,57.49796676635742,2024-12-24,52.619998931884766,-8.483722310206627,nyse_tickers.csv,nyse_data
AS,2024-11-20,20.959999084472656,2024-12-24,28.780000686645508,37.30916957895277,nyse_tickers.csv,nyse_data
CRM,2024-11-20,325.3288269042969,2024-12-24,344.42999267578125,5.871341298969314,nyse_tickers.csv,nyse_data
WT,2024-11-20,11.729999542236328,2024-12-24,10.6899995803833,-8.866155178508652,nyse_tickers.csv,nyse_data
NBHC,2024-11-20,46.71867752075195,2024-12-24,43.56999969482422,-6.739655300664545,nyse_tickers.csv,nyse_data
SWI,2024-11-20,12.979999542236328,2024-12-24,14.4399995803833,11.248074650512883,nyse_tickers.csv,nyse_data
GSK,2024-11-20,33.349998474121094,2024-12-24,34.029998779296875,2.038981518105458,nyse_tickers.csv,nyse_data
UTI,2024-11-20,19.88999938964844,2024-12-24,26.290000915527344,32.176982012426414,nyse_tickers.csv,nyse_data
