Ticker,Current Price,buy at,Sell at,stop loss, Quantity,API Status,Balance,Bought at,Spare 2,Last update,Spare 1,Quantity
VNCE,4.329999923706055,3.2,4.2,3.0,40.0,No Action,0,3.65,0,2025-01-05,0.0,
PERF,2.940000057220459,2.1,3.2,2.0,40.0,No Action,0,2.5,0,2025-01-05,0.0,
DAN,11.760000228881836,11.834,13.524,9.016,,Buy,0,0.0,0,2025-01-05,0.0,0.0
VSAT,9.65999984741211,10.006,11.436,7.624,,Buy,0,0.0,0,2025-01-05,0.0,0.0
SEDG,17.56999969482422,15.54,17.76,11.84,,Buy,0,0.0,0,2025-01-05,0.0,0.0
MXL,19.93000030517578,20.548,23.484,15.656,,Buy,0,0.0,0,2025-01-05,0.0,0.0
PGNY,17.479999542236328,18.616,21.276,14.184,,Buy,0,0.0,0,2025-01-05,0.0,0.0
PUMP,9.989999771118164,10.363,11.844,7.896,,Buy,0,0.0,0,2025-01-05,0.0,0.0
CRK,18.799999237060547,19.635,22.44,14.96,,Buy,0,0.0,0,2025-01-05,0.0,0.0
JBLU,7.400000095367432,7.854,8.976,5.984,,Buy,0,0.0,0,2025-01-05,0.0,0.0
IRWD,4.550000190734863,4.546,5.196,3.464,,Buy,0,0.0,0,2025-01-05,0.0,0.0
ADEA,13.864999771118164,14.416,16.476,10.984,,Buy,0,0.0,0,2025-01-05,0.0,0.0
SHO,12.069999694824219,12.232,13.98,9.32,,Buy,0,0.0,0,2025-01-05,0.0,0.0
VSTS,16.450000762939453,16.065,18.36,12.24,,Buy,0,0.0,0,2025-01-05,0.0,0.0
NVRI,8.510000228881836,8.704,9.948,6.632,,Buy,0,0.0,0,2025-01-05,0.0,0.0
SONO,14.899999618530273,15.477,17.688,11.792,,Buy,0,0.0,0,2025-01-05,0.0,0.0
NWL,10.039999961853027,10.479,11.976,7.984,,Buy,0,0.0,0,2025-01-05,0.0,0.0
BGS,6.849999904632568,7.487,8.556,5.704,,Buy,0,0.0,0,2025-01-05,0.0,0.0
TRIP,15.359999656677246,15.739,17.988,11.992,,Buy,0,0.0,0,2025-01-05,0.0,0.0
CERT,11.225000381469727,11.193,12.792,8.528,,Buy,0,0.0,0,2025-01-05,0.0,0.0
WBA,9.677200317382812,9.649,11.028,7.352,,Buy,0,0.0,0,2025-01-05,0.0,0.0
INN,6.599999904632568,7.098,8.112,5.408,,Buy,0,0.0,0,2025-01-05,0.0,0.0
