Ticker,Current Price,buy at,Sell at,Quantity,API Status,Balance,Bought at,Spare 2
VNCE,3.369999885559082,3.2,4.2,40,No Action,0,3.65,0
PERF,2.4428000450134277,2.1,3.2,40,No Action,0,2.5,0
